"150954","Javier Bardem","3","3","96","82","8.0","7, 8, 9","Sea Inside, No Country For Old Men, Dune"
"150955","Eric Bana","3","2","97","240","8.0","7, 9, 8","The Dry, King Arthur: Legend Of The Sword, Chopper"
"150956","Robert Duvall","3","3","98","83","8.0","9, 6, 9","The Godfather, Apocalypse Now, The Godfather Part 2"
"150957","Timothée Chalamet","3","3","99","84","8.0","8, 7, 9","Don’T Look Up, The French Dispatch, Dune"
"150958","Jeffrey DeMunn","3","3","100","86","7.7","8, 8, 7","Shawshank Redemption, The Green Mile, Burn After Reading"
"150959","Chiwetel Ejiofor","3","2","101","248","7.7","7, 7, 9","Inside Man, Secret In Their Eyes, Children Of Men"
"150960","Octavia Spencer","3","3","102","87","7.7","9, 7, 7","Snowpiercer, Shape Of Water, Luce"
"150961","Tommy Lee Jones","3","3","103","88","7.7","7, 8, 8","Ad Astra, Double Jeopardy, No Country For Old Men"
"150962","Jeff Bridges","3","3","104","89","7.7","7, 8, 8","True Grit, The Big Lebowski, Kingsman: The Golden Circle"
"150963","Victor Garber","3","3","105","90","7.7","8, 7, 8","Dark Waters, Sicario, Argo"
"150964","Idris Elba","3","3","106","91","7.7","6, 8, 9","The Dark Tower, Rocknrolla, Molly’S Game"
"150965","Jessica Rothe","3","3","107","92","7.7","9, 7, 7","La La Land, Happy Death Day 2U, Happy Death Day"
"150966","Nicole Kidman","3","3","108","93","7.7","7, 9, 7","Secret In Their Eyes, Moulin Rouge, The Upside"
"150967","Jennifer Connelly","3","3","109","94","7.7","8, 9, 6","Blood Diamond, Alita: Battle Angel, Top Gun"
"150968","Ashley Judd","3","3","110","95","7.7","8, 8, 7","Heat, Double Jeopardy, A Time To Kill"
"150969","John Goodman","3","3","111","96","7.7","8, 8, 7","The Big Lebowski, Argo, Inside Llewyn Davis"
"150970","Steve Buscemi","3","3","112","97","7.7","8, 9, 6","The Big Lebowski, Big Fish, Fargo"
"150971","Dakota Johnson","3","3","113","98","7.7","7, 8, 8","The Peanut Butter Falcon, Our Friend, The Lost Daughter"
"150972","Bruce Dern","3","2","114","249","7.7","7, 9, 7","The Peanut Butter Falcon, Django Unchained, Qt8 The First Eight"
"150973","Paul Schneider","3","3","115","99","7.7","8, 8, 7","Water For Elephants, The Assassination Of Jesse James By The Coward Robert Ford, Away We Go"
"150974","Chris Messina","3","3","116","100","7.7","8, 7, 8","Argo, Away We Go, I Care A Lot"
"150975","Jonah Hill","3","3","117","101","7.7","7, 8, 8","Moneyball, War Dogs, Don’T Look Up"
"150976","Choi Min-sik","3","3","118","102","7.7","8, 7, 8","Oldboy, Lady Vengeance, I Saw The Devil"
"150977","Tim Robbins","3","3","119","105","7.3","8, 8, 6","Shawshank Redemption, Dark Waters, Austin Powers: The Spy Who Shagged Me"
"150978","Michael Shannon","3","3","120","106","7.3","8, 7, 7","Knives Out, Shape Of Water, 8 Mile"
"150979","Steve Park","3","3","121","107","7.3","9, 6, 7","Snowpiercer, Fargo, The French Dispatch"
"150980","Mark Ruffalo","3","3","122","108","7.3","7, 8, 7","Spotlight, Dark Waters, Eternal Sunshine Of The Spotless Mind"
"150981","Jason Schwartzman","3","3","123","109","7.3","7, 8, 7","Big Eyes, Scott Pilgrim Vs The World, The French Dispatch"
"150982","Kim Basinger","3","3","124","110","7.3","7, 7, 8","Nice Guys, 8 Mile, L.A. Confidential"
