"ID","Movies","Date","Genre","Rating","IMDB","Metacritic","Year","Director","Writer","Cast","Search","Budget","Revenue","Oscar"
"312","Sunshine","21/01/2022","Sci-fi","9","0","0","2007","Danny Boyle","Alex Garland","Cillian Murphy, Chris Evans, Rose Byrne, Michelle Yeoh, Hiroyuki Sanada, Cliff Curtis, Troy Garity, Benedict Wong, Mark Strong, Chipo Chung, Paloma Baeza, Archie Macdonald, Sylvie Macdonald","Sunshine (2007) cillian","0","0",
"313","A Time To Kill","23/01/2022","Mystery & thriller, Drama","7","0","0","1996","Joel Schumacher","Akiva Goldsman","Sandra Bullock, Samuel L. Jackson, Matthew McConaughey, Kevin Spacey, Brenda Fricker, Oliver Platt, Charles S. Dutton, Ashley Judd, Patrick McGoohan, Donald Sutherland, Kiefer Sutherland, John Diehl, Doug Hutchison, Nicky Katt, Joe Seneca, Chris Cooper, Anthony Heald, Jonathan Hadary, Byron Jennings, Tonea Stewart",,"0","0",
"314","Ocean’s 8","24/01/2022","Crime, Comedy, Drama","7","0","0","2018","Gary Ross","Gary Ross, Olivia Milch","Sandra Bullock, Cate Blanchett, Anne Hathaway, Helena Bonham Carter, Mindy Kaling, Sarah Paulson, Awkwafina, Rihanna, Richard Armitage, James Corden, Dakota Fanning",,"0","0",
"315","The Trial Of Chicago 7","26/01/2022","History, Drama","7","0","0","2020","Aaron Sorkin","Aaron Sorkin","Eddie Redmayne, Alex Sharp, Sacha Baron Cohen, Jeremy Strong, John Carroll Lynch, Yahya Abdul-Mateen II, Mark Rylance, Joseph Gordon-Levitt, Ben Shenkman, Frank Langella, Noah Robbins, Danny Flaherty, John Doman, Kelvin Harrison Jr., Caitlin FitzGerald, Michael Keaton",,"0","0",
"208","The Oak Room","25/05/2021",,"4","5.4","0","2020","Cody Calahan","Peter Genoway","RJ Mitte, Peter Outerbridge, Ari Millen, Nicholas Campbell, Martin Roach, David Ferry, Amos Crawley, Avery Esteves, Coal Campbell, Adam Seybold",,"0","0",
"209","The Sound Of Metal","26/05/2021",,"6","7.8","0","2019","Darius Marder","Darius Marder, Abraham Marder, Derek Cianfrance","Riz Ahmed, Olivia Cooke, Paul Raci, Lauren Ridloff, Mathieu Amalric, Domenico Toledo, Chelsea Lee, Shaheem Sanchez, Chris Perfetti, Bill Thorpe, Michael Tow, William Xifaras, Rena Maliszewski, Tom Kemp, Elan Sicroff, Jeremy Lee Stone, , as ASL Student, as Karl",,"0","0","Z:W/E:W/M:N/A:N/a:N/S:N"
"210","Nomadland","29/05/2021",,"6","7.4","0","2020","Chloé Zhao","Jessica Bruder, Chloé Zhao","Frances McDormand, David Strathairn, Linda May, Gay DeForest, Patricia Grier, Angela Reyes, Carl R. Hughes, Douglas G. Soul, Ryan Aquino, Teresa Buchanan, Karie Lynn McDermott Wilder, Brandy Wilber, Makenzie Etcheverry, Bob Wells, Annette Webb, Rachel Bannon, Charlene Swankie, Bryce Bedsworth",,"0","0","M:W/B:W/D:W/s:N/E:N/C:N"
"211","Oxygen","04/06/2021",,"7","6.5","67","2021","Alexandre Aja","Christie LeBlanc","Mélanie Laurent, Mathieu Amalric, Malik Zidi, Laura Boujenah, Eric Herson-Macarel, Anie Balestra, Marc Saez, Cathy Cerda, Marie Lemiale, Lyah Valade",,"0","0",
"212","Man On Fire","05/06/2021",,"8","7.7","0","2004","Tony Scott","A.J. Quinnell, Brian Helgeland","Denzel Washington, Christopher Walken, Dakota Fanning, Radha Mitchell, Marc Anthony, Giancarlo Giannini, Mickey Rourke, Rachel Ticotin, Roberto Sosa, Jesús Ochoa, Gero Camilo, Mario Zaragoza, Charles Paraventi, Carmen Salinas, Esteban De La Trinidad, Angelina Peláez, Norma Pablo, Rosa María Hernández",,"0","0",
"213","The Personal History Of David Copperfield","09/06/2021",,"6","6.4","0","2019","Armando Iannucci","Simon Blackwell, Charles Dickens, Armando Iannucci","Dev Patel, Hugh Laurie, Tilda Swinton, Peter Capaldi, Fisayo Akinade, Nikki Amuka-Bird, Albie Atkinson, Aneurin Barnard, Tuwaine Barrett, Nigel Betts, Ruby Bentall, Darren Boyd, Gwendoline Christie, Morfydd Clark, …, as Peggotty, as Mr Spenlow, as Mick Walker, as Coalman",,"0","0",
"214","Taxi Driver","12/06/2021","Crime, Drama","7","8.3","0","1976","Martin Scorsese","Paul Schrader","Robert De Niro, Jodie Foster, Cybill Shepherd, Albert Brooks, Diahnne Abbott, Frank Adu, Victor Argo, Gino Ardito, Garth Avery, Peter Boyle, Harry Cohn, Copper Cunningham, Brenda Dickson, Harry Fischler, Nat Grant, Leonard Harris, Richard Higgs, Beau Kayser",,"0","0","M:N/A:N/b:N/Mo:N"
"215","The Little Things","13/06/2021",,"6","6.3","54","2021","John Lee Hancock","John Lee Hancock","Denzel Washington, Rami Malek, Jared Leto, Chris Bauer, Michael Hyatt, Terry Kinney, Natalie Morales, Isabel Arraiza, Joris Jarsky, Glenn Morshower, Sofia Vassilieva, Jason James Richter, John Harlan Kim, Frederick Koehler, Judith Scott",,"0","29844012",
"217","Three Billboards Outside Ebbing Missouri","17/06/2021",,"9","8.1","88","2017","Martin McDonagh","Martin McDonagh","Frances McDormand, Caleb Landry Jones, Kerry Condon, Sam Rockwell, Alejandro Barrios, Jason Ledford, Darrell Britt-Gibson, Woody Harrelson, Abbie Cornish, Riya May Atwood, Selah Atwood, Lucas Hedges, Zeljko Ivanek, Amanda Warren, Malaya Rivera Drew",,"15000000","160192267","B:W/a:W/M:N/a:N/Mo:N/S:N/E:N"
"216","The Purge: Anarchy","14/06/2021",,"5","6.4","50","2014","James DeMonaco","James DeMonaco, James DeMonaco","Frank Grillo, Carmen Ejogo, Zach Gilford, Kiele Sanchez, Zoë Soul, Justina Machado, John Beasley, Jack Conley, Noel Gugliemi, Castulo Guerra, Michael Kenneth Williams, Edwin Hodge, LaKeith Stanfield, Roberta Valderrama, Niko Nicotera",,"9000000","111928365",
"218","Kiss Kiss Bang Bang","20/06/2021",,"6","7.5","72","2005","Shane Black","Brett Halliday, Shane Black, |, 1 more credit,  »
    ","Robert Downey Jr., Val Kilmer, Michelle Monaghan, Corbin Bernsen, Dash Mihok, Larry Miller, Rockmond Dunbar, Shannyn Sossamon, Angela Lindvall, Indio Falconer Downey, Ariel Winter, Duane Carnahan, Josh Richman, Martha Hackett, Nancy Fish",,"15000000","15785148",
"219","Contagion","22/06/2021",,"6","6.7","70","2011","Steven Soderbergh","Scott Z. Burns","Gwyneth Paltrow, Tien You Chui, Josie Ho, Daria Strokous, Matt Damon, Griffin Kane, Yoshiaki Kobayashi, Laurence Fishburne, John Hawkes, Jude Law, Monique Gabriela Curnen, Teri McEvoy, Sue Redman, Teri Campbell, Stef Tovar",,"60000000","136515867",
"220","Die Hard 2","24/06/2021",,"6","7.1","67","1990","Renny Harlin","Steven E. de Souza, Doug Richardson, |, 2 more credits,  »
    ","Bruce Willis, Bonnie Bedelia, William Atherton, Reginald VelJohnson, Franco Nero, William Sadler, John Amos, Dennis Franz, Art Evans, Fred Thompson, Tom Bower, Sheila McCarthy, Don Harvey, Tony Ganios, Peter Nelson",,"70000000","240031274",
"221","Minari","25/06/2021",,"7","7.5","89","2020","Lee Isaac Chung","Lee Isaac Chung","Alan S. Kim, Yeri Han, Noel Cho, Steven Yeun, Darryl Cox, Esther Moon, Ben Hall, Eric Starkey, Will Patton, Yuh-Jung Youn, Jacob M Wade, James Carroll, Jenny Phagan, Tina Parker, Chloe Lee",,"0","14514941","b:W/M:N/A:N/D:N/S:N/Mo:N"
"222","Penguin Bloom","27/06/2021",,"5","6.8","54","2020","Glendyn Ivin","Shaun Grant, Harry Cripps, |, 3 more credits,  »
    ","Naomi Watts, Griffin Murray-Johnston, Andrew Lincoln, Essi Murray-Johnston, Felix Cameron, Abe Clifford-Barr, Jacki Weaver, Gerry, Clipper, Eugene, Maggie May, Mavis, Pew, Pip, Wendell",,"0","6191805",
"223","Book Club","04/07/2021","Romance","7","0","0","2018","Bill Holderman","Bill Holderman, Erin Simms","Diane Keaton, Jane Fonda, Candice Bergen, Mary Steenburgen, Craig T. Nelson, Richard Dreyfuss, Alicia Silverstone, Katie Aselton, Ed Begley Jr., Wallace Shawn, Andy Garcia, Don Johnson, Tommy Dewey, Mircea Monroe, Matt Riedy, Adam Huber",,"0","0",
"224","Killing Them Softly","09/07/2021","Drama, Crime","7","0","0","2012","Andrew Dominik","Andrew Dominik","Brad Pitt, Scoot McNairy, Ben Mendelsohn, Richard Jenkins, James Gandolfini, Ray Liotta, Vincent Curatola, Slaine, Max Casella, Trevor Long, Sam Shepard",,"0","0",
"225","Alita: Battle Angel","10/07/2021","Adventure, Fantasy, Action, Animation, Sci-fi","9","0","0","2019","Robert Rodriguez","James Cameron, Laeta Kalogridis","Rosa Salazar, Christoph Waltz, Keean Johnson, Mahershala Ali, Jennifer Connelly, Ed Skrein, Jackie Earle Haley, Lana Condor, Idara Victor, Eiza González, Jeff Fahey, Marko Zaror, Jorge Lendeborg, Michelle Rodriguez",,"0","0",
"226","The Courier","11/07/2021","Drama, History, Mystery & thriller","7","0","0","2020","Dominic Cooke","Tom O'Connor","Benedict Cumberbatch, Merab Ninidze, Vladimir Chuprikov, James Schofield, Rachel Brosnahan, Anton Lesser, Jessie Buckley, Miles Richardson",,"0","0",
"227","Kingsman: The Golden Circle","16/07/2021","Comedy, Adventure, Action","8","0","0","2017","Matthew Vaughn","Jane Goldman, Matthew Vaughn","Colin Firth, Julianne Moore, Taron Egerton, Mark Strong, Halle Berry, Channing Tatum, Jeff Bridges, Pedro Pascal, Edward Holcroft, Hanna Alström, Emily Watson, Sophie Cookson, Elton John, Bruce Greenwood, Poppy Delevingne",,"0","0",
"228","The Godfather","17/07/2021","Drama, Crime","9","0","0","1972","Francis Ford Coppola","Francis Ford Coppola, Mario Puzo, Mario Puzo","Marlon Brando, Al Pacino, James Caan, Richard S. Castellano, Robert Duvall, Sterling Hayden, John Marley, Richard Conte, Diane Keaton, Al Lettieri, Abe Vigoda, Talia Shire, Gianni Russo, John Cazale, Rudy Bond, Al Martino, Morgana King, Lenny Montana, John Martino, Richard Bright","The Godfather brando","0","0",
"229","Top Gun","22/07/2021","Adventure, Action","6","0","0","1986","Joseph Kosinski","Ehren Kruger, Eric Warren Singer, Christopher McQuarrie","Tom Cruise, Miles Teller, Jennifer Connelly, Jon Hamm, Glen Powell, Lewis Pullman, Charles Parnell, Bashir Salahuddin, Monica Barbaro, Jay Ellis, Danny Ramirez, Greg Tarzan Davis, Ed Harris, Val Kilmer",,"0","0",
"230","Baby Driver","23/07/2021","Mystery & thriller, Action","7","0","0","2017","Edgar Wright","Edgar Wright","Ansel Elgort, Kevin Spacey, Lily James, Jon Bernthal, Jon Hamm, Jamie Foxx, Eiza González, Flea, Sky Ferreira, Lanny Joon",,"0","0",
"231","Zodiac","24/07/2021","Romance","8","0","0","2007","Christopher Nolen","Christopher Nolen","Caryn Ward, Tammy Townsend, Carl Anthony Payne, Brad James, Timon Kyle Durrett, Christopher Nolen, Tanjareen Thomas, Clinton Lewis",,"0","0",
"232","Palmer","28/07/2021","Drama","7","0","0","2021","Fisher Stevens","Cheryl Guerriero","Justin Timberlake, Juno Temple, Alisha Wainwright, June Squibb, Ryder Allen, Jesse C. Boyd, Charmin Lee, Wynn Everett, Stephen Louis Grush",,"0","0",
"233","Burn After Reading","31/07/2021","Comedy, Drama, Mystery & thriller","7","0","0","2008","Joel Coen, Ethan Coen","Joel Coen, Ethan Coen","George Clooney, Frances McDormand, John Malkovich, Tilda Swinton, Brad Pitt, Richard Jenkins, Elizabeth Marvel, David Rasche, J.K. Simmons, Jeffrey DeMunn, Olek Krupa, Michael Countryman",,"0","0",
"234","Le Chant Du Loup","02/08/2021","Drama, War, Mystery & thriller","9","0","0","2019","Antonin Baudry","Antonin Baudry","François Civil, Omar Sy, Mathieu Kassovitz, Reda Kateb, Paula Beer, Alexis Michalik, Jean-Yves Berteloot, Damien Bonnard","The wolf's call","0","0",
"235","Everest","04/08/2021","Drama, Adventure, Mystery & thriller","6","0","0","2015","Baltasar Kormákur","William Nicholson, Simon Beaufoy","Jason Clarke, Josh Brolin, John Hawkes, Robin Wright, Emily Watson, Michael Kelly, Keira Knightley, Sam Worthington, Martin Henderson, Elizabeth Debicki, Ingvar Eggert Sigurðsson, Jake Gyllenhaal, Clive Standen, Naoko Mori, Tom Goodman-Hill","everest clarke","0","0",
"236","The Upside","06/08/2021","Comedy, Drama","7","0","0","2019","Neil Burger","Jon Hartmere","Kevin Hart, Bryan Cranston, Nicole Kidman, Aja Naomi King, Jahi Di'Allo Winston, Genevieve Angelson, Golshifteh Farahani, Tate Donovan, Julianna Margulies, Suzanne Savoy",,"0","0",
"237","Apocalypse Now","07/08/2021","Drama, War","6","0","0","1979","Francis Ford Coppola","Joseph Conrad, John Milius, Francis Ford Coppola, Michael Herr","Marlon Brando, Martin Sheen, Robert Duvall, Frederic Forrest, Albert Hall, Sam Bottoms, Laurence Fishburne, Dennis Hopper, G.D. Spradlin, Harrison Ford, Jerry Ziesmer, Scott Glenn, Cynthia Wood, Colleen Camp, Linda Carpenter",,"0","0",
"238","Ratatouille","11/08/2021","Comedy, Kids & family, Animation","7","0","0","2007","Brad Bird","Brad Bird","Patton Oswalt, Ian Holm, Lou Romano, Brian Dennehy, Peter Sohn, Brad Garrett, Peter O'Toole, Janeane Garofalo, Will Arnett, Julius Callahan, James Remar, John Ratzenberger, Teddy Newton, Tony Fucile, Jake Steinfeld, Brad Bird, Stéphane Roux","ratatouille","0","0",
"239","Sympathy For Mr. Vengeance","12/08/2021","Drama","7","0","0","2002","Park Chan-wook","Lee Jae-seon, Mu-yeong Lee","Kang-ho Song, Bae Doo-na, Han Bo-bae, Kim Se-dong, Lee Dae-yeon, Shin Ha-kyun, Im Ji-eun",,"0","0",
"240","The Frozen Ground","13/08/2021","Mystery & thriller","5","0","0","2013","Scott Walker","Scott Walker","Nicolas Cage, John Cusack, Vanessa Hudgens, 50 Cent, Radha Mitchell, Jodi Lyn O'Keefe, Ryan O'Nan, Dean Norris, Katherine LaNasa",,"0","0",
"241","Oldboy","14/08/2021","Mystery & thriller","8","0","0","2003","Park Chan-wook","Garon Tsuchiya, Im Jun-hyeong","Choi Min-sik, Yoo Ji-tae, Kang Hye-jung, Ji Dae-han, Oh Dal-su, Kim Byeong-ok, Seung-shin Lee, Yoon Jin-seo","oldboy choi","0","0",
"242","Lady Vengeance","20/08/2021","Comedy, Mystery & thriller, Drama","7","0","0","2005","Park Chan-wook","Park Chan-wook, Jeong Seo-gyeong","Lee Young-ae, Choi Min-sik, Nam Il-u, Kim Byeong-ok, Kim Bu-seon, Ra Mi-ran",,"0","0",
"243","A Quiet Place Part 2","21/08/2021","Horror, Mystery & thriller","6","0","0","2020","John Krasinski","John Krasinski","Emily Blunt, Cillian Murphy, Millicent Simmonds, Noah Jupe, Djimon Hounsou, John Krasinski, Lauren-Ashley Cristiano, Okieriete Onaodowan",,"0","0",
"244","The Rental","22/08/2021","Horror, Mystery & thriller","4","0","0","2020","Dave Franco","Dave Franco, Joe Swanberg","Dan Stevens, Alison Brie, Sheila Vand, Jeremy Allen White, Toby Huss, Anthony Molinari, Connie Wellman, Chase Barker",,"0","0",
"245","Django Unchained","26/08/2021","Drama, Western, Action","9","0","0","2012","Quentin Tarantino","Quentin Tarantino","Jamie Foxx, Christoph Waltz, Leonardo DiCaprio, Samuel L. Jackson, Kerry Washington, Walton Goggins, Dennis Christopher, James Remar, David Steen, Dana Gourrier, Nichole Galicia, Laura Cayouette, Sammi Rotibi, Clay Fontenot, Escalante Lundy, Miriam F. Glover, Don Johnson, Bruce Dern, Tom Wopat, Don Stroud",,"0","0",
"250","Vivarium","02/09/2021","Mystery & thriller, Sci-fi","5","0","0","2019","Lorcan Finnegan","Garret Shanley","Imogen Poots, Jesse Eisenberg, Eanna Hardwicke, Jonathan Aris, Danielle Ryan, Olga Wehrly, Senan Jennings, Molly McCann, Shana Hart, Marck Quigley, Jack Hudson",,"0","0",
"246","Wrath Of Man","27/08/2021","Mystery & thriller, Crime, Action, Drama","7","0","0","2021","Guy Ritchie","Guy Ritchie, Ivan Atkinson, Marn Davies","Jason Statham, Holt McCallany, Jeffrey Donovan, Josh Hartnett, Laz Alonso, Raúl Castillo, Deobia Oparei, Eddie Marsan, Scott Eastwood, Niamh Algar, Chris Reilly",,"0","0",
"249","Spiral","28/08/2021","Mystery & thriller, Horror","5","0","0","2021","Darren Bousman","Josh Stolberg, Pete Goldfinger","Chris Rock, Max Minghella, Samuel L. Jackson, Marisol Nichols, Dan Petronijevic, Richard Zeppieri, Ali Johnson, Zoie Palmer, K.C. Collins, Edie Inksetter, Nazneen Contractor, Thomas Mitchell, Carvin Winans, Leila Leigh, Chad Camilleri, Jerry Getty",,"0","0",
"251","The Art Of Self-defense","03/09/2021","Comedy","7","0","0","2019","Riley Stearns","Riley Stearns","Jesse Eisenberg, Alessandro Nivola, Imogen Poots, Steve Terada, David Zellner, Phillip Andre Botello, Jason Burkey, Mike V. Szuc, C.J. Rush, Davey Johnson, Hauke Bahr",,"0","0",
"252","The Chef","04/09/2021","Comedy","7","0","0","2012","Daniel Cohen","Daniel Cohen","Jean Reno, Michaël Youn, Raphaëlle Agogué, Julien Boisselier, Salomé Stévenin, Serge Larivière, Pierre Vernier, Santiago Segura, Issa Doumbia, Bun Hay Mean","The Chef (2012) reno","0","0",
"253","Arrival","04/09/2021","Mystery & thriller, Sci-fi, Drama","9","0","0","2016","Denis Villeneuve","Eric Heisserer","Amy Adams, Jeremy Renner, Forest Whitaker, Michael Stuhlbarg, Mark O'Brien, Tzi Ma, Abigail Pniowsky, Julia Scarlett Dan, Jadyn Malone, Frank Schorpion, Nathaly Thibault",,"0","0",
"254","Ex Machina","05/09/2021","Mystery & thriller, Sci-fi, Drama","8","0","0","2015","Alex Garland","Alex Garland","Domhnall Gleeson, Oscar Isaac, Alicia Vikander, Sonoya Mizuno, Claire Selby, Gana Bayarsaikhan, Tiffany Pisani, Corey Johnson",,"0","0",
"255","The Handmaiden","10/09/2021","Romance, Mystery & thriller, Drama","6","0","0","2016","Park Chan-wook","Seo-kyeong Jeong","Kim Min-hee, Kim Tae-ri, Ha Jung-woo, Cho Jin-woong, Kim Hae-sook, Moon So-ri, Jeong Ha-dam, Jo Eun-hyung",,"0","0",
"256","The Highwaymen","11/09/2021","Crime, Drama","5","0","0","2019","John Lee Hancock","John Fusco","Kevin Costner, Woody Harrelson, Kathy Bates, John Carroll Lynch, Kim Dickens, Thomas Mann, W. Earl Brown, Emily Brobst, Edward Bossert, David Furr, Jane McNeill, Jesse C. Boyd, Jason Davis, Josh Ventura",,"0","0",
"257","Oldboy (US)","15/09/2021","Mystery & thriller, Drama","6","0","0","2013","Spike Lee","Mark Protosevich","Josh Brolin, Elizabeth Olsen, Sharlto Copley, Michael Imperioli, Linda Emond, James Ransone, Max Casella, Pom Klementieff, Samuel L. Jackson, Elvis Nolasco, Rami Malek, Lance Reddick, Hannah Ware, Richard Portnow, Hannah Simone, Ciera Payton","oldboy (2013) brolin","0","0",
"258","Free Guy","16/09/2021","Comedy, Action, Adventure","6","0","0","2021","Shawn Levy","Matt Lieberman, Zak Penn","Ryan Reynolds, Jodie Comer, Joe Keery, Lil Rel Howery, Utkarsh Ambudkar, Taika Waititi, Aaron Reed, Britne Oldford, Anabel Graetz",,"0","0",
"259","La Belle Epoque","17/09/2021","Romance","8","0","0","2019","Nicolas Bedos","Nicolas Bedos","Daniel Auteuil, Guillaume Canet, Doria Tillier, Pierre Arditi, Fanny Ardant, Denis Podalydès, Michaël Cohen, Jeanne Arènes, Bertrand Poncet, Bruno Raffaelli, Lizzie Brocheré, Thomas Scimeca, Emmanuel Ménard, Sébastien Corona, Tobias Licht, Elisabeth Duda, Frédéric Sandeau, Arnaud De Montlivaut, Sandrine Moaligou",,"0","0",
"260","The Hunt","18/09/2021","Drama","7","0","0","2012","Thomas Vinterberg","Tobias Lindholm, Thomas Vinterberg","Mads Mikkelsen, Thomas Bo Larsen, Annika Wedderkopp, Lasse Fogelstrøm, Susse Wold, Anne Louise Hassing, Lars Ranthe, Alexandra Rapaport, Ole Dupont, Jytte Kvinesdal","The Hunt (2012) mads","0","0",
"261","I See You","20/09/2021","Mystery & thriller","7","0","0","2019","Adam Randall","Devon Graye","Helen Hunt, Jon Tenney, Judah Lewis, Owen Teague, Libe Barer, Gregory Alan Williams, Allison Gabriel King, Jennifer Grace, Adam Kern",,"0","0",
"262","Scott Pilgrim Vs The World","23/09/2021","Action, Romance","8","0","0","2010","Edgar Wright","Michael Bacall, Edgar Wright","Michael Cera, Mary Elizabeth Winstead, Kieran Culkin, Chris Evans, Anna Kendrick, Brie Larson, Alison Pill, Aubrey Plaza, Brandon Routh, Jason Schwartzman, Johnny Simmons, Mark Webber, Mae Whitman, Ellen Wong, Shôta Saitô, Satya Bhabha, Keita Saito",,"0","0",
"263","Away We Go","24/09/2021","Comedy, Drama","7","0","0","2009","Sam Mendes","Dave Eggers, Vendela Vida","John Krasinski, Maya Rudolph, Jeff Daniels, Carmen Ejogo, Jim Gaffigan, Maggie Gyllenhaal, Josh Hamilton, Allison Janney, Melanie Lynskey, Chris Messina, Catherine O'Hara, Paul Schneider",,"0","0",
"264","Austin Powers: International Man Of Mystery","24/09/2021","Comedy","7","0","0","1997","Jay Roach","Mike Myers","Mike Myers, Elizabeth Hurley, Michael York, Mimi Rogers, Robert Wagner, Seth Green, Fabiana Udenio, Mindy Sterling, Paul Dillon, Charles Napier, Will Ferrell",,"0","0",
"265","Manchester By The Sea","25/09/2021","Drama","7","0","0","2017","Kenneth Lonergan","Kenneth Lonergan","Casey Affleck, Michelle Williams, Kyle Chandler, Lucas Hedges, C.J. Wilson, Heather Burns, Tate Donovan, Josh Hamilton, Anna Baryshnikov, Matthew Broderick, Gretchen Mol",,"0","0",
"266","Escape Room: Tournament Of Champions","26/09/2021","Horror, Mystery & thriller","7","0","0","2021","Adam Robitel","Will Honley, Maria Melnik, Daniel Tuch, Oren Uziel","Taylor Russell, Logan Miller, Indya Moore, Holland Roden, Thomas Cocquerel, Carlito Olivero, Deborah Ann Woll",,"0","0",
"267","The Guilty","01/10/2021","Crime, Mystery & thriller, Drama","6","0","0","2021","Antoine Fuqua","Nic Pizzolatto","Jake Gyllenhaal, Ethan Hawke, Riley Keough, Paul Dano, Peter Sarsgaard, Bill Burr, Edi Patterson, David Castañeda, Christina Vidal",,"0","0",
"268","The Godfather Part 2","02/10/2021","Crime, Drama","9","0","0","1974","Francis Ford Coppola","Francis Ford Coppola, Mario Puzo","Al Pacino, Robert Duvall, Diane Keaton, Robert De Niro, John Cazale, Talia Shire, Lee Strasberg, Michael V. Gazzo, G.D. Spradlin, Richard Bright, Gastone Moschin, Tom Rosqui, Bruno Kirby, Frank Sivero, Francesca De Sapio, Morgana King, Marianna Hill, Leopoldo Trieste, Dominic Chianese, Amerigo Tot",,"0","0",
"269","War Dogs","03/10/2021","Drama, Comedy","8","0","0","2016","Todd Phillips","Stephen Chin, Todd Phillips, Jason Smilovic","Jonah Hill, Miles Teller, Ana de Armas, Bradley Cooper, Kevin Pollak, Steve Lantz, Gregg Weiner, David Packouz, Eddie Jemison, Julian Sergi, Shaun Toub",,"0","0",
"270","Till Death","04/10/2021","Action, Mystery & thriller","5","0","0","2021","S.K. Dale","Jason Carvey","Megan Fox, Eoin Macken, Callan Mulvey, Jack Roth, Aml Ameen, Lili Rich, Stefanie Rozhko, Teodora Djuric, Keanu Snyders",,"0","0",
"271","Wonder Woman 1984","08/10/2021","Adventure, Action, Fantasy","6","0","0","2020","Patty Jenkins","Patty Jenkins, Geoff Johns, David Callaham","Gal Gadot, Chris Pine, Kristen Wiig, Pedro Pascal, Robin Wright, Connie Nielsen, Lilly Aspell, Amr Waked, Kristoffer Polaha, Natasha Rothwell, Ravi Patel, Oliver Cotton, Lucian Perez, Gabriella Wilde, Kelvin Yu, Stuart Milligan, Shane Attwooll, David Al-Fahmi, Kevin Wallace, Wai Wong",,"0","0",
"272","21 Bridges","13/10/2021","Drama, Crime, Mystery & thriller, Action","8","0","0","2019","Brian Kirk","Adam Mervis, Matthew Michael Carnahan","Chadwick Boseman, Sienna Miller, J.K. Simmons, Stephan James, Taylor Kitsch, Keith David, Alexander Siddig, Louis Cancelmi, Victoria Cartagena, Gary Carr, Morocco Omari, Chris Ghaffari, Dale Pavinski, Christian Isaiah, Sarah Ellen Stephens, Jamie Neumann, Peter Patrikios",,"0","0",
"276","The Godfather Part 3","16/10/2021","Drama, Crime","8","0","0","1990","Francis Ford Coppola","Francis Ford Coppola, Mario Puzo","Al Pacino, Diane Keaton, Talia Shire, Andy Garcia, Eli Wallach, Joe Mantegna, George Hamilton, Bridget Fonda, Sofia Coppola, Raf Vallone, Franc D'Ambrosio, Donal Donnelly, Richard Bright, Helmut Berger, Don Novello, John Savage, Franco Citti, Mario Donatone, Vittorio Duse, Enzo Robutti",,"0","0",
"275","Scary Movie","15/10/2021","Comedy","8","0","0","2000","Malcolm D. Lee","David Zucker, Pat Proft","Ashley Tisdale, Simon Rex, Erica Ash, Katt Williams, Gracie Whitton, Ava Kolker, Lidia Porto, Charlie Sheen, Tyler Posey, Katrina Bowden, Darrell Hammond, Ben Cornish, J.P. Manoux, Molly Shannon, Terry Crews, Heather Locklear, Kate Walsh, Jerry O'Connell, Mike Tyson, Lindsay Lohan",,"0","0",
"277","Drive","17/10/2021","Drama, Crime, Action","8","0","0","2011","Nicolas Winding Refn","Hossein Amini","Ryan Gosling, Carey Mulligan, Bryan Cranston, Albert Brooks, Oscar Isaac, Ron Perlman, Kaden Leos, Christina Hendricks","drive gossling","0","0",
"278","Non-stop","19/10/2021","Mystery & thriller, Action","7","0","0","2014","Jaume Collet-Serra","John W. Richardson, Christopher Roach, Ryan Engle","Liam Neeson, Julianne Moore, Anson Mount, Scoot McNairy, Michelle Dockery, Nate Parker, Linus Roache, Jason Butler Harner, Lupita Nyong'o, Corey Stoll, Omar Metwally, Shea Whigham",,"0","0",
"279","Magnolia","23/10/2021","Drama","8","0","0","1999","Paul Thomas Anderson","Paul Thomas Anderson","Jason Robards, Julianne Moore, Tom Cruise, Philip Seymour Hoffman, John C. Reilly, Melora Walters, Jeremy Blackman, Michael Bowen, William H. Macy, Philip Baker Hall, Melinda Dillon, Emmanuel Johnson, Michael Murphy, Luis Guzmán, April Grace, Orlando Jones, Ricky Jay, Henry Gibson, Felicity Huffman, Alfred Molina",,"0","0",
"280","Austin Powers: The Spy Who Shagged Me","24/10/2021","Comedy","6","0","0","1999","Jay Roach","Mike Myers, Mike Myers, Michael McCullers","Mike Myers, Heather Graham, Michael York, Robert Wagner, Rob Lowe, Seth Green, Mindy Sterling, Verne Troyer, Elizabeth Hurley, Kristen Johnston, Gia Carides, Burt Bacharach, Elvis Costello, Will Ferrell, Woody Harrelson, Charles Napier, Willie Nelson, Tim Robbins, Rebecca Romijn, Jerry Springer",,"0","0",
"281","Bo Burnham Inside","29/10/2021","Comedy, Stand-up","8","0","0","2021","Bo Burnham","Bo Burnham","Bo Burnham",,"0","0",
"282","25th Hour","30/10/2021","Drama","7","0","0","2002","Spike Lee","David Benioff, David Benioff","Ed Norton, Philip Seymour Hoffman, Barry Pepper, Rosario Dawson, Anna Paquin, Brian Cox, Tony Siragusa, Levan Uchaneishvili, Misha Kuznetsov, Isiah Whitlock Jr., Michael Genet","25th Hour norton","0","0",
